student_id,name,total_attempts,correct_answers,accuracy,topic_accuracy,preferred_topic,last_difficulty,next_suggested_difficulty
15,Student_15,34,11,0.32,"{'Java Basics': 0.51, 'Java OOP': 0.83, 'Java Multithreading': 0.44, 'Java Exceptions': 0.24, 'Java Collections': 0.53}",Java Collections,easy,easy
16,Student_16,35,12,0.34,"{'Java Basics': 0.81, 'Java OOP': 0.76, 'Java Multithreading': 0.73, 'Java Exceptions': 0.44, 'Java Collections': 0.65}",Java Collections,easy,easy
17,Student_17,75,26,0.35,"{'Java Basics': 0.64, 'Java OOP': 0.53, 'Java Multithreading': 0.38, 'Java Exceptions': 0.59, 'Java Collections': 0.6}",Java OOP,easy,easy
18,Student_18,41,18,0.44,"{'Java Basics': 0.62, 'Java OOP': 0.5, 'Java Multithreading': 0.44, 'Java Exceptions': 0.29, 'Java Collections': 0.62}",Java Exceptions,easy,medium
19,Student_19,34,9,0.26,"{'Java Basics': 0.44, 'Java OOP': 0.67, 'Java Multithreading': 0.45, 'Java Exceptions': 0.54, 'Java Collections': 0.51}",Java OOP,easy,easy
20,Student_20,89,14,0.16,"{'Java Basics': 0.32, 'Java OOP': 0.78, 'Java Multithreading': 0.86, 'Java Exceptions': 0.73, 'Java Collections': 0.24}",Java Exceptions,easy,easy
21,Student_21,34,13,0.38,"{'Java Basics': 0.68, 'Java OOP': 0.73, 'Java Multithreading': 0.21, 'Java Exceptions': 0.3, 'Java Collections': 0.24}",Java Exceptions,easy,easy
22,Student_22,72,46,0.64,"{'Java Basics': 0.69, 'Java OOP': 0.83, 'Java Multithreading': 0.32, 'Java Exceptions': 0.31, 'Java Collections': 0.31}",Java OOP,easy,medium
23,Student_23,95,55,0.58,"{'Java Basics': 0.45, 'Java OOP': 0.26, 'Java Multithreading': 0.66, 'Java Exceptions': 0.84, 'Java Collections': 0.79}",Java Collections,easy,medium
24,Student_24,79,18,0.23,"{'Java Basics': 0.69, 'Java OOP': 0.69, 'Java Multithreading': 0.43, 'Java Exceptions': 0.78, 'Java Collections': 0.6}",Java Collections,easy,easy
25,Student_25,78,70,0.9,"{'Java Basics': 0.52, 'Java OOP': 0.87, 'Java Multithreading': 0.45, 'Java Exceptions': 0.67, 'Java Collections': 0.68}",Java Exceptions,medium,hard
26,Student_26,76,48,0.63,"{'Java Basics': 0.86, 'Java OOP': 0.89, 'Java Multithreading': 0.25, 'Java Exceptions': 0.22, 'Java Collections': 0.38}",Java Exceptions,easy,medium
27,Student_27,88,87,0.99,"{'Java Basics': 0.29, 'Java OOP': 0.67, 'Java Multithreading': 0.42, 'Java Exceptions': 0.37, 'Java Collections': 0.66}",Java Exceptions,medium,hard
28,Student_28,26,10,0.38,"{'Java Basics': 0.26, 'Java OOP': 0.45, 'Java Multithreading': 0.78, 'Java Exceptions': 0.88, 'Java Collections': 0.73}",Java Multithreading,easy,easy
29,Student_29,40,12,0.3,"{'Java Basics': 0.68, 'Java OOP': 0.61, 'Java Multithreading': 0.48, 'Java Exceptions': 0.89, 'Java Collections': 0.84}",Java Collections,easy,easy
30,Student_30,44,36,0.82,"{'Java Basics': 0.38, 'Java OOP': 0.86, 'Java Multithreading': 0.28, 'Java Exceptions': 0.5, 'Java Collections': 0.65}",Java Exceptions,medium,hard
31,Student_31,82,18,0.22,"{'Java Basics': 0.31, 'Java OOP': 0.26, 'Java Multithreading': 0.89, 'Java Exceptions': 0.75, 'Java Collections': 0.35}",Java Basics,easy,easy
32,Student_32,29,9,0.31,"{'Java Basics': 0.88, 'Java OOP': 0.65, 'Java Multithreading': 0.71, 'Java Exceptions': 0.45, 'Java Collections': 0.47}",Java Exceptions,easy,easy
33,Student_33,66,25,0.38,"{'Java Basics': 0.51, 'Java OOP': 0.28, 'Java Multithreading': 0.34, 'Java Exceptions': 0.4, 'Java Collections': 0.25}",Java OOP,easy,easy
34,Student_34,82,52,0.63,"{'Java Basics': 0.38, 'Java OOP': 0.59, 'Java Multithreading': 0.64, 'Java Exceptions': 0.66, 'Java Collections': 0.65}",Java Basics,easy,medium
35,Student_35,23,8,0.35,"{'Java Basics': 0.73, 'Java OOP': 0.41, 'Java Multithreading': 0.47, 'Java Exceptions': 0.2, 'Java Collections': 0.7}",Java Multithreading,easy,easy
36,Student_36,89,30,0.34,"{'Java Basics': 0.7, 'Java OOP': 0.65, 'Java Multithreading': 0.59, 'Java Exceptions': 0.89, 'Java Collections': 0.83}",Java Collections,easy,easy
37,Student_37,83,38,0.46,"{'Java Basics': 0.83, 'Java OOP': 0.7, 'Java Multithreading': 0.35, 'Java Exceptions': 0.34, 'Java Collections': 0.61}",Java Multithreading,easy,medium
38,Student_38,74,72,0.97,"{'Java Basics': 0.34, 'Java OOP': 0.56, 'Java Multithreading': 0.57, 'Java Exceptions': 0.43, 'Java Collections': 0.26}",Java Exceptions,medium,hard
39,Student_39,76,48,0.63,"{'Java Basics': 0.69, 'Java OOP': 0.21, 'Java Multithreading': 0.86, 'Java Exceptions': 0.71, 'Java Collections': 0.88}",Java OOP,easy,medium
40,Student_40,71,46,0.65,"{'Java Basics': 0.55, 'Java OOP': 0.84, 'Java Multithreading': 0.9, 'Java Exceptions': 0.69, 'Java Collections': 0.57}",Java Collections,easy,medium
41,Student_41,91,78,0.86,"{'Java Basics': 0.67, 'Java OOP': 0.53, 'Java Multithreading': 0.57, 'Java Exceptions': 0.79, 'Java Collections': 0.85}",Java Multithreading,medium,hard
42,Student_42,31,21,0.68,"{'Java Basics': 0.52, 'Java OOP': 0.58, 'Java Multithreading': 0.21, 'Java Exceptions': 0.29, 'Java Collections': 0.74}",Java Multithreading,easy,medium
43,Student_43,82,58,0.71,"{'Java Basics': 0.23, 'Java OOP': 0.82, 'Java Multithreading': 0.74, 'Java Exceptions': 0.73, 'Java Collections': 0.28}",Java Basics,medium,hard
44,Student_44,54,34,0.63,"{'Java Basics': 0.47, 'Java OOP': 0.54, 'Java Multithreading': 0.38, 'Java Exceptions': 0.58, 'Java Collections': 0.86}",Java Basics,easy,medium
45,Student_45,60,16,0.27,"{'Java Basics': 0.63, 'Java OOP': 0.52, 'Java Multithreading': 0.75, 'Java Exceptions': 0.78, 'Java Collections': 0.59}",Java Exceptions,easy,easy
46,Student_46,94,41,0.44,"{'Java Basics': 0.39, 'Java OOP': 0.51, 'Java Multithreading': 0.25, 'Java Exceptions': 0.64, 'Java Collections': 0.21}",Java Collections,easy,medium
47,Student_47,70,41,0.59,"{'Java Basics': 0.33, 'Java OOP': 0.8, 'Java Multithreading': 0.84, 'Java Exceptions': 0.59, 'Java Collections': 0.87}",Java Collections,easy,medium
48,Student_48,38,21,0.55,"{'Java Basics': 0.47, 'Java OOP': 0.46, 'Java Multithreading': 0.77, 'Java Exceptions': 0.65, 'Java Collections': 0.57}",Java OOP,easy,medium
49,Student_49,77,76,0.99,"{'Java Basics': 0.85, 'Java OOP': 0.54, 'Java Multithreading': 0.75, 'Java Exceptions': 0.57, 'Java Collections': 0.79}",Java Multithreading,medium,hard
50,Student_50,58,29,0.5,"{'Java Basics': 0.35, 'Java OOP': 0.23, 'Java Multithreading': 0.48, 'Java Exceptions': 0.23, 'Java Collections': 0.84}",Java Collections,easy,medium
51,Student_51,93,76,0.82,"{'Java Basics': 0.75, 'Java OOP': 0.77, 'Java Multithreading': 0.82, 'Java Exceptions': 0.45, 'Java Collections': 0.57}",Java OOP,medium,hard
52,Student_52,25,14,0.56,"{'Java Basics': 0.4, 'Java OOP': 0.28, 'Java Multithreading': 0.86, 'Java Exceptions': 0.4, 'Java Collections': 0.44}",Java Multithreading,easy,medium
53,Student_53,36,35,0.97,"{'Java Basics': 0.24, 'Java OOP': 0.45, 'Java Multithreading': 0.5, 'Java Exceptions': 0.46, 'Java Collections': 0.78}",Java Basics,medium,hard
54,Student_54,40,37,0.93,"{'Java Basics': 0.34, 'Java OOP': 0.75, 'Java Multithreading': 0.64, 'Java Exceptions': 0.27, 'Java Collections': 0.84}",Java Collections,medium,hard
55,Student_55,28,16,0.57,"{'Java Basics': 0.43, 'Java OOP': 0.32, 'Java Multithreading': 0.7, 'Java Exceptions': 0.62, 'Java Collections': 0.46}",Java Multithreading,easy,medium
56,Student_56,36,14,0.39,"{'Java Basics': 0.58, 'Java OOP': 0.77, 'Java Multithreading': 0.74, 'Java Exceptions': 0.45, 'Java Collections': 0.21}",Java Multithreading,easy,easy
57,Student_57,81,40,0.49,"{'Java Basics': 0.72, 'Java OOP': 0.5, 'Java Multithreading': 0.8, 'Java Exceptions': 0.53, 'Java Collections': 0.44}",Java OOP,easy,medium
58,Student_58,78,33,0.42,"{'Java Basics': 0.22, 'Java OOP': 0.58, 'Java Multithreading': 0.69, 'Java Exceptions': 0.83, 'Java Collections': 0.29}",Java Exceptions,easy,medium
59,Student_59,57,54,0.95,"{'Java Basics': 0.61, 'Java OOP': 0.53, 'Java Multithreading': 0.66, 'Java Exceptions': 0.56, 'Java Collections': 0.56}",Java OOP,medium,hard
60,Student_60,40,6,0.15,"{'Java Basics': 0.55, 'Java OOP': 0.82, 'Java Multithreading': 0.51, 'Java Exceptions': 0.81, 'Java Collections': 0.24}",Java Multithreading,easy,easy
61,Student_61,48,26,0.54,"{'Java Basics': 0.32, 'Java OOP': 0.72, 'Java Multithreading': 0.36, 'Java Exceptions': 0.82, 'Java Collections': 0.38}",Java Basics,easy,medium
62,Student_62,52,41,0.79,"{'Java Basics': 0.83, 'Java OOP': 0.25, 'Java Multithreading': 0.63, 'Java Exceptions': 0.27, 'Java Collections': 0.77}",Java Basics,medium,hard
63,Student_63,28,23,0.82,"{'Java Basics': 0.5, 'Java OOP': 0.43, 'Java Multithreading': 0.29, 'Java Exceptions': 0.81, 'Java Collections': 0.82}",Java Exceptions,medium,hard
64,Student_64,69,12,0.17,"{'Java Basics': 0.86, 'Java OOP': 0.53, 'Java Multithreading': 0.23, 'Java Exceptions': 0.64, 'Java Collections': 0.67}",Java Exceptions,easy,easy
65,Student_65,51,33,0.65,"{'Java Basics': 0.33, 'Java OOP': 0.54, 'Java Multithreading': 0.26, 'Java Exceptions': 0.9, 'Java Collections': 0.46}",Java Multithreading,easy,medium
66,Student_66,59,26,0.44,"{'Java Basics': 0.67, 'Java OOP': 0.75, 'Java Multithreading': 0.32, 'Java Exceptions': 0.53, 'Java Collections': 0.68}",Java Exceptions,easy,medium
67,Student_67,79,41,0.52,"{'Java Basics': 0.36, 'Java OOP': 0.44, 'Java Multithreading': 0.25, 'Java Exceptions': 0.75, 'Java Collections': 0.89}",Java Collections,easy,medium
68,Student_68,67,62,0.93,"{'Java Basics': 0.46, 'Java OOP': 0.36, 'Java Multithreading': 0.36, 'Java Exceptions': 0.31, 'Java Collections': 0.3}",Java Multithreading,medium,hard
69,Student_69,71,32,0.45,"{'Java Basics': 0.72, 'Java OOP': 0.39, 'Java Multithreading': 0.26, 'Java Exceptions': 0.52, 'Java Collections': 0.3}",Java Basics,easy,medium
70,Student_70,92,62,0.67,"{'Java Basics': 0.8, 'Java OOP': 0.66, 'Java Multithreading': 0.42, 'Java Exceptions': 0.79, 'Java Collections': 0.53}",Java Basics,easy,medium
71,Student_71,39,18,0.46,"{'Java Basics': 0.29, 'Java OOP': 0.36, 'Java Multithreading': 0.35, 'Java Exceptions': 0.27, 'Java Collections': 0.88}",Java Collections,easy,medium
72,Student_72,64,51,0.8,"{'Java Basics': 0.6, 'Java OOP': 0.24, 'Java Multithreading': 0.8, 'Java Exceptions': 0.36, 'Java Collections': 0.29}",Java Exceptions,medium,hard
73,Student_73,30,28,0.93,"{'Java Basics': 0.54, 'Java OOP': 0.7, 'Java Multithreading': 0.28, 'Java Exceptions': 0.23, 'Java Collections': 0.3}",Java Collections,medium,hard
74,Student_74,34,7,0.21,"{'Java Basics': 0.77, 'Java OOP': 0.51, 'Java Multithreading': 0.58, 'Java Exceptions': 0.75, 'Java Collections': 0.32}",Java Exceptions,easy,easy
75,Student_75,42,11,0.26,"{'Java Basics': 0.75, 'Java OOP': 0.64, 'Java Multithreading': 0.61, 'Java Exceptions': 0.69, 'Java Collections': 0.22}",Java Basics,easy,easy
76,Student_76,85,10,0.12,"{'Java Basics': 0.33, 'Java OOP': 0.61, 'Java Multithreading': 0.21, 'Java Exceptions': 0.58, 'Java Collections': 0.32}",Java Collections,easy,easy
77,Student_77,80,39,0.49,"{'Java Basics': 0.47, 'Java OOP': 0.61, 'Java Multithreading': 0.74, 'Java Exceptions': 0.31, 'Java Collections': 0.41}",Java Collections,easy,medium
78,Student_78,28,28,1.0,"{'Java Basics': 0.82, 'Java OOP': 0.89, 'Java Multithreading': 0.69, 'Java Exceptions': 0.6, 'Java Collections': 0.43}",Java Collections,medium,hard
79,Student_79,68,38,0.56,"{'Java Basics': 0.4, 'Java OOP': 0.89, 'Java Multithreading': 0.76, 'Java Exceptions': 0.61, 'Java Collections': 0.85}",Java Collections,easy,medium
80,Student_80,98,72,0.73,"{'Java Basics': 0.58, 'Java OOP': 0.5, 'Java Multithreading': 0.7, 'Java Exceptions': 0.61, 'Java Collections': 0.83}",Java OOP,medium,hard
81,Student_81,76,53,0.7,"{'Java Basics': 0.22, 'Java OOP': 0.22, 'Java Multithreading': 0.54, 'Java Exceptions': 0.9, 'Java Collections': 0.88}",Java Multithreading,easy,medium
82,Student_82,90,48,0.53,"{'Java Basics': 0.47, 'Java OOP': 0.78, 'Java Multithreading': 0.69, 'Java Exceptions': 0.52, 'Java Collections': 0.63}",Java Multithreading,easy,medium
83,Student_83,96,75,0.78,"{'Java Basics': 0.25, 'Java OOP': 0.22, 'Java Multithreading': 0.82, 'Java Exceptions': 0.39, 'Java Collections': 0.34}",Java Basics,medium,hard
84,Student_84,33,7,0.21,"{'Java Basics': 0.67, 'Java OOP': 0.46, 'Java Multithreading': 0.34, 'Java Exceptions': 0.24, 'Java Collections': 0.76}",Java OOP,easy,easy
85,Student_85,57,29,0.51,"{'Java Basics': 0.35, 'Java OOP': 0.68, 'Java Multithreading': 0.89, 'Java Exceptions': 0.29, 'Java Collections': 0.39}",Java Basics,easy,medium
86,Student_86,97,9,0.09,"{'Java Basics': 0.72, 'Java OOP': 0.86, 'Java Multithreading': 0.56, 'Java Exceptions': 0.43, 'Java Collections': 0.85}",Java Multithreading,easy,easy
87,Student_87,62,8,0.13,"{'Java Basics': 0.8, 'Java OOP': 0.2, 'Java Multithreading': 0.81, 'Java Exceptions': 0.59, 'Java Collections': 0.49}",Java Collections,easy,easy
88,Student_88,32,22,0.69,"{'Java Basics': 0.68, 'Java OOP': 0.66, 'Java Multithreading': 0.22, 'Java Exceptions': 0.72, 'Java Collections': 0.78}",Java Exceptions,easy,medium
89,Student_89,25,11,0.44,"{'Java Basics': 0.35, 'Java OOP': 0.65, 'Java Multithreading': 0.78, 'Java Exceptions': 0.45, 'Java Collections': 0.26}",Java Multithreading,easy,medium
90,Student_90,55,35,0.64,"{'Java Basics': 0.87, 'Java OOP': 0.7, 'Java Multithreading': 0.8, 'Java Exceptions': 0.5, 'Java Collections': 0.22}",Java Exceptions,easy,medium
91,Student_91,58,11,0.19,"{'Java Basics': 0.81, 'Java OOP': 0.42, 'Java Multithreading': 0.46, 'Java Exceptions': 0.7, 'Java Collections': 0.42}",Java Basics,easy,easy
92,Student_92,46,7,0.15,"{'Java Basics': 0.85, 'Java OOP': 0.75, 'Java Multithreading': 0.35, 'Java Exceptions': 0.48, 'Java Collections': 0.86}",Java Collections,easy,easy
93,Student_93,48,13,0.27,"{'Java Basics': 0.36, 'Java OOP': 0.37, 'Java Multithreading': 0.21, 'Java Exceptions': 0.58, 'Java Collections': 0.29}",Java Multithreading,easy,easy
94,Student_94,66,11,0.17,"{'Java Basics': 0.76, 'Java OOP': 0.9, 'Java Multithreading': 0.82, 'Java Exceptions': 0.73, 'Java Collections': 0.79}",Java Exceptions,easy,easy
95,Student_95,31,14,0.45,"{'Java Basics': 0.64, 'Java OOP': 0.53, 'Java Multithreading': 0.31, 'Java Exceptions': 0.78, 'Java Collections': 0.59}",Java Collections,easy,medium
96,Student_96,28,17,0.61,"{'Java Basics': 0.64, 'Java OOP': 0.74, 'Java Multithreading': 0.21, 'Java Exceptions': 0.53, 'Java Collections': 0.63}",Java Multithreading,easy,medium
97,Student_97,49,46,0.94,"{'Java Basics': 0.29, 'Java OOP': 0.8, 'Java Multithreading': 0.75, 'Java Exceptions': 0.59, 'Java Collections': 0.82}",Java Basics,medium,hard
98,Student_98,43,17,0.4,"{'Java Basics': 0.58, 'Java OOP': 0.88, 'Java Multithreading': 0.43, 'Java Exceptions': 0.21, 'Java Collections': 0.5}",Java Exceptions,easy,easy
99,Student_99,32,26,0.81,"{'Java Basics': 0.45, 'Java OOP': 0.82, 'Java Multithreading': 0.26, 'Java Exceptions': 0.74, 'Java Collections': 0.32}",Java Multithreading,medium,hard
100,Student_100,78,58,0.74,"{'Java Basics': 0.71, 'Java OOP': 0.65, 'Java Multithreading': 0.72, 'Java Exceptions': 0.48, 'Java Collections': 0.46}",Java Exceptions,medium,hard
101,Student_101,26,6,0.23,"{'Java Basics': 0.43, 'Java OOP': 0.34, 'Java Multithreading': 0.5, 'Java Exceptions': 0.9, 'Java Collections': 0.68}",Java OOP,easy,easy
102,Student_102,65,51,0.78,"{'Java Basics': 0.38, 'Java OOP': 0.83, 'Java Multithreading': 0.2, 'Java Exceptions': 0.52, 'Java Collections': 0.39}",Java Collections,medium,hard
103,Student_103,51,30,0.59,"{'Java Basics': 0.37, 'Java OOP': 0.39, 'Java Multithreading': 0.77, 'Java Exceptions': 0.57, 'Java Collections': 0.67}",Java Basics,easy,medium
104,Student_104,80,65,0.81,"{'Java Basics': 0.76, 'Java OOP': 0.85, 'Java Multithreading': 0.75, 'Java Exceptions': 0.42, 'Java Collections': 0.47}",Java Collections,medium,hard
105,Student_105,74,30,0.41,"{'Java Basics': 0.26, 'Java OOP': 0.69, 'Java Multithreading': 0.26, 'Java Exceptions': 0.77, 'Java Collections': 0.26}",Java Multithreading,easy,medium
106,Student_106,21,16,0.76,"{'Java Basics': 0.79, 'Java OOP': 0.7, 'Java Multithreading': 0.25, 'Java Exceptions': 0.87, 'Java Collections': 0.29}",Java Basics,medium,hard
107,Student_107,56,5,0.09,"{'Java Basics': 0.68, 'Java OOP': 0.34, 'Java Multithreading': 0.81, 'Java Exceptions': 0.88, 'Java Collections': 0.49}",Java OOP,easy,easy
108,Student_108,90,32,0.36,"{'Java Basics': 0.84, 'Java OOP': 0.21, 'Java Multithreading': 0.26, 'Java Exceptions': 0.65, 'Java Collections': 0.58}",Java OOP,easy,easy
109,Student_109,65,29,0.45,"{'Java Basics': 0.85, 'Java OOP': 0.38, 'Java Multithreading': 0.86, 'Java Exceptions': 0.35, 'Java Collections': 0.53}",Java Basics,easy,medium
110,Student_110,62,6,0.1,"{'Java Basics': 0.21, 'Java OOP': 0.77, 'Java Multithreading': 0.72, 'Java Exceptions': 0.4, 'Java Collections': 0.75}",Java Exceptions,easy,easy
111,Student_111,76,59,0.78,"{'Java Basics': 0.65, 'Java OOP': 0.82, 'Java Multithreading': 0.28, 'Java Exceptions': 0.66, 'Java Collections': 0.47}",Java Exceptions,medium,hard
112,Student_112,36,23,0.64,"{'Java Basics': 0.27, 'Java OOP': 0.71, 'Java Multithreading': 0.72, 'Java Exceptions': 0.35, 'Java Collections': 0.66}",Java Basics,easy,medium
113,Student_113,45,40,0.89,"{'Java Basics': 0.62, 'Java OOP': 0.74, 'Java Multithreading': 0.73, 'Java Exceptions': 0.45, 'Java Collections': 0.28}",Java Exceptions,medium,hard
114,Student_114,97,13,0.13,"{'Java Basics': 0.49, 'Java OOP': 0.3, 'Java Multithreading': 0.69, 'Java Exceptions': 0.88, 'Java Collections': 0.57}",Java Basics,easy,easy
115,Student_115,28,19,0.68,"{'Java Basics': 0.76, 'Java OOP': 0.75, 'Java Multithreading': 0.25, 'Java Exceptions': 0.4, 'Java Collections': 0.36}",Java OOP,easy,medium
116,Student_116,46,41,0.89,"{'Java Basics': 0.2, 'Java OOP': 0.35, 'Java Multithreading': 0.42, 'Java Exceptions': 0.42, 'Java Collections': 0.56}",Java Basics,medium,hard
117,Student_117,34,21,0.62,"{'Java Basics': 0.29, 'Java OOP': 0.28, 'Java Multithreading': 0.42, 'Java Exceptions': 0.5, 'Java Collections': 0.71}",Java Collections,easy,medium
118,Student_118,55,11,0.2,"{'Java Basics': 0.45, 'Java OOP': 0.46, 'Java Multithreading': 0.22, 'Java Exceptions': 0.69, 'Java Collections': 0.73}",Java Collections,easy,easy
119,Student_119,99,9,0.09,"{'Java Basics': 0.62, 'Java OOP': 0.65, 'Java Multithreading': 0.27, 'Java Exceptions': 0.31, 'Java Collections': 0.27}",Java Basics,easy,easy
120,Student_120,95,86,0.91,"{'Java Basics': 0.64, 'Java OOP': 0.66, 'Java Multithreading': 0.83, 'Java Exceptions': 0.51, 'Java Collections': 0.58}",Java Multithreading,medium,hard
121,Student_121,65,37,0.57,"{'Java Basics': 0.87, 'Java OOP': 0.76, 'Java Multithreading': 0.59, 'Java Exceptions': 0.57, 'Java Collections': 0.35}",Java OOP,easy,medium
122,Student_122,93,46,0.49,"{'Java Basics': 0.27, 'Java OOP': 0.48, 'Java Multithreading': 0.38, 'Java Exceptions': 0.74, 'Java Collections': 0.73}",Java Multithreading,easy,medium
123,Student_123,89,53,0.6,"{'Java Basics': 0.51, 'Java OOP': 0.65, 'Java Multithreading': 0.23, 'Java Exceptions': 0.36, 'Java Collections': 0.29}",Java OOP,easy,medium
124,Student_124,39,24,0.62,"{'Java Basics': 0.44, 'Java OOP': 0.74, 'Java Multithreading': 0.27, 'Java Exceptions': 0.65, 'Java Collections': 0.89}",Java Exceptions,easy,medium
125,Student_125,86,65,0.76,"{'Java Basics': 0.25, 'Java OOP': 0.5, 'Java Multithreading': 0.7, 'Java Exceptions': 0.67, 'Java Collections': 0.48}",Java Exceptions,medium,hard
126,Student_126,49,41,0.84,"{'Java Basics': 0.5, 'Java OOP': 0.81, 'Java Multithreading': 0.22, 'Java Exceptions': 0.31, 'Java Collections': 0.31}",Java OOP,medium,hard
127,Student_127,66,35,0.53,"{'Java Basics': 0.27, 'Java OOP': 0.46, 'Java Multithreading': 0.3, 'Java Exceptions': 0.68, 'Java Collections': 0.78}",Java Collections,easy,medium
128,Student_128,98,8,0.08,"{'Java Basics': 0.6, 'Java OOP': 0.34, 'Java Multithreading': 0.24, 'Java Exceptions': 0.88, 'Java Collections': 0.58}",Java Multithreading,easy,easy
129,Student_129,85,42,0.49,"{'Java Basics': 0.52, 'Java OOP': 0.36, 'Java Multithreading': 0.32, 'Java Exceptions': 0.29, 'Java Collections': 0.53}",Java OOP,easy,medium
130,Student_130,97,59,0.61,"{'Java Basics': 0.3, 'Java OOP': 0.87, 'Java Multithreading': 0.22, 'Java Exceptions': 0.55, 'Java Collections': 0.7}",Java Exceptions,easy,medium
131,Student_131,67,46,0.69,"{'Java Basics': 0.29, 'Java OOP': 0.63, 'Java Multithreading': 0.2, 'Java Exceptions': 0.68, 'Java Collections': 0.22}",Java OOP,easy,medium
132,Student_132,73,29,0.4,"{'Java Basics': 0.89, 'Java OOP': 0.21, 'Java Multithreading': 0.87, 'Java Exceptions': 0.39, 'Java Collections': 0.43}",Java Exceptions,easy,easy
133,Student_133,30,6,0.2,"{'Java Basics': 0.22, 'Java OOP': 0.72, 'Java Multithreading': 0.6, 'Java Exceptions': 0.31, 'Java Collections': 0.79}",Java Exceptions,easy,easy
134,Student_134,66,16,0.24,"{'Java Basics': 0.85, 'Java OOP': 0.47, 'Java Multithreading': 0.44, 'Java Exceptions': 0.89, 'Java Collections': 0.29}",Java Collections,easy,easy
135,Student_135,70,34,0.49,"{'Java Basics': 0.25, 'Java OOP': 0.78, 'Java Multithreading': 0.59, 'Java Exceptions': 0.62, 'Java Collections': 0.71}",Java Multithreading,easy,medium
136,Student_136,20,20,1.0,"{'Java Basics': 0.56, 'Java OOP': 0.35, 'Java Multithreading': 0.6, 'Java Exceptions': 0.56, 'Java Collections': 0.9}",Java Collections,medium,hard
137,Student_137,98,32,0.33,"{'Java Basics': 0.27, 'Java OOP': 0.8, 'Java Multithreading': 0.67, 'Java Exceptions': 0.3, 'Java Collections': 0.23}",Java Multithreading,easy,easy
138,Student_138,72,60,0.83,"{'Java Basics': 0.84, 'Java OOP': 0.34, 'Java Multithreading': 0.36, 'Java Exceptions': 0.77, 'Java Collections': 0.26}",Java OOP,medium,hard
139,Student_139,86,86,1.0,"{'Java Basics': 0.62, 'Java OOP': 0.49, 'Java Multithreading': 0.24, 'Java Exceptions': 0.23, 'Java Collections': 0.8}",Java Basics,medium,hard
140,Student_140,39,13,0.33,"{'Java Basics': 0.41, 'Java OOP': 0.81, 'Java Multithreading': 0.52, 'Java Exceptions': 0.34, 'Java Collections': 0.55}",Java OOP,easy,easy
